 AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3
 4172.3076171875000000000000000, 4194.8715820312500000000000000, 4171.7949218750000000000000000, 4190.7690429687500000000000000, 4177.9487304687500000000000000, 4176.4101562500000000000000000, 4165.6411132812500000000000000, 4176.4101562500000000000000000, 4227.1791992187500000000000000, 4234.8715820312500000000000000, 4200.0000000000000000000000000, 4137.9487304687500000000000000, 4178.9741210937500000000000000, 4149.7436523437500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4170.7690429687500000000000000, 4195.8974609375000000000000000, 4170.7690429687500000000000000, 4200.5126953125000000000000000, 4187.1791992187500000000000000, 4177.9487304687500000000000000, 4169.2304687500000000000000000, 4168.7177734375000000000000000, 4223.5898437500000000000000000, 4225.1279296875000000000000000, 4192.3076171875000000000000000, 4134.8715820312500000000000000, 4178.4614257812500000000000000, 4151.2817382812500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4177.4360351562500000000000000, 4198.4614257812500000000000000, 4168.2050781250000000000000000, 4204.6152343750000000000000000, 4193.3330078125000000000000000, 4176.9228515625000000000000000, 4171.2817382812500000000000000, 4166.1538085937500000000000000, 4218.4614257812500000000000000, 4216.4101562500000000000000000, 4194.8715820312500000000000000, 4133.8461914062500000000000000, 4184.1025390625000000000000000, 4154.3588867187500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4178.4614257812500000000000000, 4201.5385742187500000000000000, 4164.6152343750000000000000000, 4203.0766601562500000000000000, 4195.8974609375000000000000000, 4174.8715820312500000000000000, 4169.7436523437500000000000000, 4172.8203125000000000000000000, 4215.8974609375000000000000000, 4215.8974609375000000000000000, 4200.0000000000000000000000000, 4134.3588867187500000000000000, 4183.5898437500000000000000000, 4152.8203125000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4174.8715820312500000000000000, 4193.8461914062500000000000000, 4163.5898437500000000000000000, 4201.0253906250000000000000000, 4185.6411132812500000000000000, 4175.8974609375000000000000000, 4168.2050781250000000000000000, 4170.7690429687500000000000000, 4206.1538085937500000000000000, 4196.9228515625000000000000000, 4191.7949218750000000000000000, 4135.3842773437500000000000000, 4168.7177734375000000000000000, 4145.1279296875000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4180.0000000000000000000000000, 4192.8203125000000000000000000, 4168.7177734375000000000000000, 4208.7177734375000000000000000, 4178.4614257812500000000000000, 4175.8974609375000000000000000, 4167.6923828125000000000000000, 4169.7436523437500000000000000, 4203.0766601562500000000000000, 4183.5898437500000000000000000, 4194.3588867187500000000000000, 4141.0253906250000000000000000, 4177.4360351562500000000000000, 4152.3076171875000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4179.4873046875000000000000000, 4197.4360351562500000000000000, 4165.1279296875000000000000000, 4209.2304687500000000000000000, 4173.3330078125000000000000000, 4176.9228515625000000000000000, 4167.6923828125000000000000000, 4174.3588867187500000000000000, 4201.0253906250000000000000000, 4195.3842773437500000000000000, 4204.6152343750000000000000000, 4138.4614257812500000000000000, 4190.2563476562500000000000000, 4161.0253906250000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4171.2817382812500000000000000, 4188.2050781250000000000000000, 4162.5639648437500000000000000, 4197.9487304687500000000000000, 4174.3588867187500000000000000, 4179.4873046875000000000000000, 4169.7436523437500000000000000, 4176.9228515625000000000000000, 4189.2304687500000000000000000, 4195.3842773437500000000000000, 4200.0000000000000000000000000, 4131.7949218750000000000000000, 4178.9741210937500000000000000, 4158.9741210937500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4171.2817382812500000000000000, 4180.0000000000000000000000000, 4162.5639648437500000000000000, 4193.8461914062500000000000000, 4187.1791992187500000000000000, 4177.4360351562500000000000000, 4171.7949218750000000000000000, 4178.9741210937500000000000000, 4184.1025390625000000000000000, 4171.7949218750000000000000000, 4195.3842773437500000000000000, 4142.0512695312500000000000000, 4172.8203125000000000000000000, 4161.5385742187500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4173.8461914062500000000000000, 4179.4873046875000000000000000, 4161.0253906250000000000000000, 4188.2050781250000000000000000, 4177.4360351562500000000000000, 4175.8974609375000000000000000, 4171.7949218750000000000000000, 4177.9487304687500000000000000, 4181.5385742187500000000000000, 4149.2304687500000000000000000, 4191.2817382812500000000000000, 4152.8203125000000000000000000, 4171.2817382812500000000000000, 4163.5898437500000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
 4174.3588867187500000000000000, 4188.2050781250000000000000000, 4163.5898437500000000000000000, 4190.2563476562500000000000000, 4171.7949218750000000000000000, 4177.4360351562500000000000000, 4171.2817382812500000000000000, 4180.0000000000000000000000000, 4185.6411132812500000000000000, 4155.8974609375000000000000000, 4190.2563476562500000000000000, 4143.5898437500000000000000000, 4175.8974609375000000000000000, 4172.8203125000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000
